image_id,true_naip_year,longitude,latitude,modeled_naip_year
286_6_1_0_17_912_13488,2005,-78.1464620313,34.8282940708,2008.0
286_6_1_0_17_912_13516,2005,-78.1439677916,34.9004175662,2014.0
286_6_1_0_17_912_13645,2005,-78.1323613251,35.2326876963,2008.0
286_6_1_0_17_912_13690,2005,-78.1282676621,35.3485907927,2008.0
286_6_1_0_17_913_13517,2005,-78.1407520065,34.902919856,2008.0
286_6_1_0_17_913_13673,2005,-78.1266750216,35.3047308603,2009.0
286_6_1_0_17_914_13579,2008,-78.1320580545,35.0625437102,2008.0
286_6_1_0_17_915_13463,2005,-78.139317686,34.7636775385,2008.0
286_6_1_0_17_915_13538,2005,-78.1326160735,34.9568640411,2008.0
286_6_1_0_17_915_13720,2005,-78.1160858828,35.4256329274,2008.0
286_6_1_0_17_916_13488,2008,-78.1339672091,34.8280002796,2008.0
286_6_1_0_17_917_13596,2005,-78.1211211231,35.1061078702,2008.0
286_6_1_0_17_918_13502,2005,-78.1264656974,34.8639141888,2008.0
286_6_1_0_17_918_13507,2005,-78.1260172398,34.8767931577,2008.0
286_6_1_0_17_918_13536,2005,-78.1234105679,34.9514905391,2009.0
286_6_1_0_17_918_13573,2005,-78.120070859,35.0467925108,2008.0
286_6_1_0_17_918_13662,2005,-78.1119730037,35.2760250962,2008.0
286_6_1_0_17_918_13664,2005,-78.1117899769,35.2811762717,2008.0
286_6_1_0_17_919_13456,2005,-78.127457628,34.7453525735,2008.0
286_6_1_0_17_919_13473,2006,-78.1259389473,34.7891418281,2008.0
286_6_1_0_17_919_13489,2005,-78.1245066048,34.8303549028,2008.0
286_6_1_0_17_919_13647,2005,-78.1102049897,35.2373161817,2009.0
286_6_1_0_17_919_13708,2005,-78.1046063208,35.3944254427,2008.0
286_6_1_0_17_919_13806,2012,-78.0955205305,35.6468202808,2012.0
286_6_1_0_17_920_13581,2005,-78.113081248,35.0672490992,2008.0
286_6_1_0_17_920_13640,2005,-78.1077061619,35.2192119754,2008.0
286_6_1_0_17_921_13456,2005,-78.121216549,34.7452051677,2008.0
286_6_1_0_17_921_13496,2005,-78.1176302122,34.8482375496,2008.0
286_6_1_0_17_921_13504,2005,-78.1169107579,34.8688437774,2008.0
286_6_1_0_17_921_13507,2005,-78.1166407742,34.8765710914,2008.0
286_6_1_0_17_921_13741,2005,-78.0952622702,35.4792654977,
286_6_1_0_17_922_13546,2005,-78.1099923508,34.9769506531,2010.0
286_6_1_0_17_922_13903,2005,-78.0769206292,35.8963964236,2008.0
286_6_1_0_17_923_13502,2005,-78.110840742,34.8635438537,2008.0
286_6_1_0_17_923_13546,2005,-78.1068630949,34.9768761141,2008.0
286_6_1_0_17_924_13422,2008,-78.1148989551,34.6574050277,2008.0
286_6_1_0_17_924_13644,2005,-78.0947846995,35.2292135973,2008.0
286_6_1_0_17_924_13672,2005,-78.092207297,35.3013290384,2008.0
286_6_1_0_17_924_13677,2005,-78.0917460824,35.3142066878,2008.0
286_6_1_0_17_925_13647,2005,-78.0913698213,35.2368648807,2008.0
286_6_1_0_17_925_13660,2005,-78.0901725658,35.2703470333,2008.0
286_6_1_0_17_925_13738,2005,-78.0829474213,35.4712353004,2014.0
286_6_1_0_17_926_13669,2005,-78.0862012049,35.2934511967,2008.0
286_6_1_0_17_926_13740,2005,-78.0796128068,35.4763100076,2008.0
286_6_1_0_17_926_13749,2005,-78.078773412,35.4994888209,2008.0
286_6_1_0_17_926_13760,2014,-78.0777461828,35.527818337,2014.0
286_6_1_0_17_927_13762,2005,-78.0744086527,35.5328927312,2008.0
286_6_1_0_17_928_13541,2005,-78.0916725544,34.9636238502,2008.0
286_6_1_0_17_928_13770,2005,-78.0705082835,35.5534192871,2008.0
286_6_1_0_17_929_13566,2005,-78.0862606855,35.0279401673,2008.0
