facility_id,true_positive,latitude,longitude,new_cafo
north-carolina_harnett_16147_287_6_1_0_17_730_13698_00,0,35.5054991869,-78.6884299975,0
north-carolina_harnett_17059_287_6_1_0_17_740_13648_00,0,35.3739641201,-78.6608311941,0
north-carolina_harnett_17267_287_6_1_0_17_742_13668_00,1,35.4271036844,-78.6511268464,1
north-carolina_harnett_18441_287_6_1_0_17_757_13614_00,0,35.2854174341,-78.6082740588,0
north-carolina_harnett_18758_287_6_1_0_17_762_13621_00,0,35.3034613674,-78.593200529,0
north-carolina_harnett_19021_287_6_1_0_17_768_13619_00,0,35.2983909983,-78.5744540835,0
north-carolina_harnett_2938_287_6_1_0_17_617_13635_00,1,35.3499043872,-79.0516725375,0
north-carolina_harnett_2860_287_6_1_0_17_616_13651_00,1,35.38896823,-79.0516465647,1
north-carolina_harnett_3419_287_6_1_0_17_622_13631_00,1,35.3386762003,-79.0348601967,1
north-carolina_harnett_6389_287_6_1_0_17_648_13650_10,0,35.3855197802,-78.9504614452,0
north-carolina_harnett_6849_287_6_1_0_17_652_13587_00,0,35.2210977384,-78.9415161398,0
north-carolina_harnett_695_287_6_1_0_17_588_13634_00,0,35.3470447841,-79.1414551438,0
north-carolina_harnett_8795_287_6_1_0_17_666_13606_00,0,35.2712134651,-78.8975006656,0
north-carolina_harnett_9230_287_6_1_0_17_669_13637_00,0,35.3505220967,-78.8872307989,0
north-carolina_harnett_9698_287_6_1_0_17_672_13707_00,1,35.5313502891,-78.8697525078,0
north-carolina_henderson_7904_287_6_1_0_17_-452_13609_00,0,35.2878113818,-82.4260791968,0
north-carolina_henderson_8128_287_6_1_0_17_-450_13620_00,0,35.3168167154,-82.4194752257,0
north-carolina_henderson_9277_287_6_1_0_17_-439_13617_10,0,35.3092615168,-82.383792095,0
north-carolina_hoke_10147_287_6_1_0_17_588_13500_00,1,34.9992034089,-79.1505170841,1
north-carolina_hoke_11632_287_6_1_0_17_601_13498_00,1,34.99411121,-79.1087703314,1
north-carolina_hoke_12211_287_6_1_0_17_609_13476_00,1,34.937706861,-79.0835580113,1
north-carolina_hoke_2157_287_6_1_0_17_530_13496_00,1,34.993627105,-79.3322778996,1
north-carolina_hoke_2411_287_6_1_0_17_532_13494_00,1,34.9877287148,-79.3260914185,0
north-carolina_hoke_7538_287_6_1_0_17_569_13445_00,1,34.8573734798,-79.2117407355,0
north-carolina_hoke_9395_287_6_1_0_17_582_13503_00,0,35.0071970787,-79.167953238,0
north-carolina_hoke_9851_287_6_1_0_17_586_13449_00,1,34.8672971251,-79.158109395,0
north-carolina_iredell_10392_287_6_1_0_17_44_13789_00,0,35.763430428,-80.8588358877,0
north-carolina_iredell_10654_287_6_1_0_17_45_13840_00,1,35.8942061443,-80.8541564687,1
north-carolina_iredell_11238_287_6_1_0_17_48_13791_00,0,35.7688845876,-80.8474962151,0
north-carolina_iredell_1168_287_6_1_0_17_-7_13828_00,1,35.8632157409,-81.0194063132,0
north-carolina_iredell_12506_287_6_1_0_17_54_13788_00,0,35.7604139481,-80.8260959944,0
north-carolina_iredell_13035_287_6_1_0_17_56_13893_00,0,36.0315639739,-80.8201726401,0
north-carolina_iredell_13202_287_6_1_0_17_57_13848_00,0,35.9162638601,-80.8175399046,0
north-carolina_iredell_13717_287_6_1_0_17_60_13727_00,0,35.6022926714,-80.8091913223,0
north-carolina_iredell_1459_287_6_1_0_17_-4_13828_00,1,35.862741904,-81.0126829272,1
north-carolina_iredell_15609_287_6_1_0_17_69_13703_00,0,35.5390495387,-80.7816291757,0
north-carolina_iredell_16483_287_6_1_0_17_73_13725_00,0,35.5971114199,-80.7672484753,0
north-carolina_iredell_18391_287_6_1_0_17_85_13848_00,1,35.9149582611,-80.7272939689,1
north-carolina_iredell_18701_287_6_1_0_17_88_13873_00,1,35.9794799991,-80.7192634245,0
north-carolina_iredell_4571_287_6_1_0_17_16_13889_00,1,36.0209329836,-80.9490683385,0
north-carolina_iredell_5745_287_6_1_0_17_22_13802_11,0,35.7964767602,-80.9292885067,0
north-carolina_iredell_9837_287_6_1_0_17_41_13868_00,0,35.9668968537,-80.8684540491,0
north-carolina_iredell_9908_287_6_1_0_17_42_13727_00,0,35.6011745034,-80.8648432075,0
north-carolina_jackson_4626_287_6_1_0_17_-698_13620_10,0,35.3054381618,-83.202322153,0
north-carolina_johnston_10099_287_6_1_0_17_820_13606_00,1,35.2598490758,-78.4101881296,1
north-carolina_johnston_10386_287_6_1_0_17_821_13705_00,0,35.5159390544,-78.4006514644,0
north-carolina_johnston_12245_287_6_1_0_17_831_13668_00,0,35.4199400791,-78.3721090358,0
north-carolina_johnston_15776_287_6_1_0_17_849_13699_00,0,35.5003503859,-78.3121508564,0
north-carolina_johnston_1631_287_6_1_0_17_764_13666_00,0,35.4193105328,-78.5842263359,0
north-carolina_johnston_17258_287_6_1_0_17_856_13792_00,0,35.7394262697,-78.2822272146,0
north-carolina_johnston_1882_287_6_1_0_17_766_13736_00,0,35.6018391562,-78.5712570863,0
north-carolina_johnston_24364_287_6_1_0_17_900_13721_00,0,35.5525155699,-78.1490109569,0
north-carolina_johnston_2446_287_6_1_0_17_772_13684_00,0,35.4659563135,-78.5559182792,0
north-carolina_johnston_266_287_6_1_0_17_741_13697_00,1,35.5001373941,-78.6525591056,0
north-carolina_johnston_2966_287_6_1_0_17_776_13751_00,0,35.6389811977,-78.5393366777,0
north-carolina_johnston_3459_287_6_1_0_17_780_13748_00,0,35.6314081866,-78.5257356219,0
north-carolina_johnston_4529_287_6_1_0_17_788_13646_00,0,35.3669718657,-78.5070198609,0
north-carolina_johnston_4539_287_6_1_0_17_788_13656_00,0,35.3931714006,-78.5089190275,0
north-carolina_johnston_5309_287_6_1_0_17_793_13620_00,1,35.300220903,-78.4943994144,0
north-carolina_johnston_7384_287_6_1_0_17_805_13622_00,0,35.3036165087,-78.4576647165,0
north-carolina_johnston_7424_287_6_1_0_17_805_13662_00,0,35.4064923098,-78.4542448655,0
north-carolina_johnston_9604_287_6_1_0_17_817_13672_00,0,35.4317854288,-78.4142996825,0
north-carolina_lee_2832_287_6_1_0_17_565_13632_00,1,35.3430535181,-79.2158585027,0
north-carolina_lee_3789_287_6_1_0_17_574_13675_10,0,35.4534179716,-79.1836686566,0
north-carolina_lincoln_1221_287_6_1_0_17_-136_13680_00,1,35.4811589995,-81.428279813,0
north-carolina_lincoln_1601_287_6_1_0_17_-130_13712_00,1,35.5615454359,-81.4113259882,0
north-carolina_lincoln_2092_287_6_1_0_17_-121_13684_00,1,35.4888952108,-81.3829613729,0
north-carolina_lincoln_2052_287_6_1_0_17_-122_13701_00,1,35.5349757171,-81.3857598769,0
north-carolina_lincoln_325_287_6_1_0_17_-153_13703_00,1,35.5389621401,-81.4844168657,1
north-carolina_lincoln_3808_287_6_1_0_17_-91_13672_00,0,35.4585767757,-81.2869623199,0
north-carolina_lincoln_3842_287_6_1_0_17_-91_13706_00,0,35.5475289436,-81.2870197753,0
north-carolina_lincoln_532_287_6_1_0_17_-148_13680_00,1,35.4785580735,-81.464890406,0
north-carolina_lincoln_5996_287_6_1_0_17_-53_13668_00,0,35.4500018649,-81.1663858041,0
north-carolina_lincoln_6179_287_6_1_0_17_-50_13677_00,0,35.4737437529,-81.1572191611,0
north-carolina_lincoln_7069_287_6_1_0_17_-35_13701_00,1,35.5345106748,-81.1106162482,0
north-carolina_macon_11371_287_6_1_0_17_-745_13592_00,0,35.230246598,-83.3484886707,0
north-carolina_mcdowell_9213_287_6_1_0_17_-313_13720_00,1,35.5787942973,-81.9885635092,1
north-carolina_mecklenburg_11607_287_6_1_0_17_66_13594_00,0,35.2570777451,-80.7897610489,0
north-carolina_mecklenburg_13966_287_6_1_0_17_81_13584_00,0,35.2310385875,-80.7425262354,0
north-carolina_mecklenburg_14430_287_6_1_0_17_85_13552_00,0,35.1492204602,-80.729882906,0
north-carolina_mecklenburg_15276_287_6_1_0_17_92_13604_11,0,35.2834401698,-80.7081737633,0
north-carolina_mecklenburg_2314_287_6_1_0_17_14_13537_00,0,35.1102742394,-80.954279392,0
north-carolina_mecklenburg_2476_287_6_1_0_17_15_13569_00,0,35.1923435626,-80.9516901934,0
north-carolina_mecklenburg_3018_287_6_1_0_17_19_13540_00,0,35.1179936206,-80.9381657441,0
north-carolina_mecklenburg_3324_287_6_1_0_17_21_13542_00,0,35.1233428699,-80.9320548688,0
north-carolina_mecklenburg_3639_287_6_1_0_17_23_13543_00,0,35.1257417146,-80.9258798634,0
north-carolina_mecklenburg_3818_287_6_1_0_17_24_13562_00,0,35.1750671661,-80.9224735511,0
north-carolina_mecklenburg_4381_287_6_1_0_17_27_13632_00,0,35.3558785339,-80.9123359087,0
north-carolina_mecklenburg_6028_287_6_1_0_17_37_13530_00,0,35.092514528,-80.8820688204,0
north-carolina_mecklenburg_8784_287_6_1_0_17_51_13618_00,0,35.3196890625,-80.8388741417,0
north-carolina_mecklenburg_9375_287_6_1_0_17_54_13625_00,0,35.3382401009,-80.8279092207,0
